label	a	b
Residential computers	601535 	601535 
Commercial computers	573428 	573428 
New hybrid petrol car	387146 	392433 
IMPOILCRD2	203286 	221275 
TCFCHBHYG01	228745 	184434 
TCPET01	151239 	174655 
TBDST01	142305 	142305 
REAUDVIS01	136923 	136923 
New Nuclear (PWR EPR variant)	125610 	106884 
IMPOILCRD1-E	94493 	96859 
Light truck petrol hybrid	28543 	154645 
IMPNGA-N	90888 	90888 
TAIJETN01	86002 	86002 
Light truck. Plug in hybrid? Petrol?	135984 	31336 
Heavy truck. Hydrogen Fuel Cell. Hybrid?!	108096 	51268 
Heavy truck. New? Diesel?	46023 	90277 
TLFCHBHYG01	55712 	59230 
Natural gas (domestic)	47886 	63515 
Light truck. Petrol.	66604 	37211 
Car. Petrol. Existing.	48865 	48865 
TLELC01	64978 	31900 
Natural gas (from Netherlands or Belgium)	55823 	40311 
Liquified natural gas	46909 	46909 
IMPHYL	36851 	36511 
RHEBLCRG01	34213 	38385 
TCHBDST01	17604 	53056 
REWETALL01	31662 	31662 
TCDST00	30671 	30671 
IMPOILJET	30163 	28725 
TAIJETE01	26676 	26676 
SREFEHFO01	24826 	26168 
TLDST00	24430 	24430 
RHEAHBRE01	29364 	18352 
RHERAD01	22439 	22574 
EBIOQ01	23655 	12867 
MINOILCRD4	17622 	17622 
RHNAHPRE01	23422 	11056 
ETNM01	18208 	15893 
SCKNGA001	15464 	15464 
MINNGA4	15388 	15388 
TLDST01		30315 
PHYGNGALQ01	16540 	10826 
RDISTELC01	13923 	11917 
RHNBLCRG01	10656 	14978 
MINOILCRD5	12234 	12562 
RHNRAD01	12200 	12247 
TCDST01	24266 	
POILREF02	12331 	11600 
RHERAD00	11698 	11698 
SDH-SWHS01	15533 	7297 
RHEAHPRE01	11836 	10676 
RCHGHOB01	9802 	11625 
MINNGA5	10282 	10282 
RCHGOVEN01	8480 	10463 
PPELHWOD01	11666 	6910 
SHLDRAD01	9082 	9082 
IMPOILMSC	7511 	10366 
SDISTELC01	8628 	8368 
MINNGASHL1	6611 	9772 
THDST00	8109 	8109 
RECOLREF02	8043 	7474 
MINOILCRD1	7407 	7407 
SHHA-CAE01	7306 	7365 
MINNGA7	4089 	10137 
TWPET01	7877 	6323 
MINOILCRD3	6815 	6815 
CCSPIP01	7843 	4987 
RSERVPGAS00	6345 	6345 
EWNDOFF201	6284 	6284 
MINOILCRD7	6151 	6151 
TADJETE01	6024 	6024 
RMAINPGAS00	6008 	6008 
MINOILCRD2	5938 	5935 
IMPBWOD	6609 	4700 
IMPCOA-E	5263 	5626 
RCHEOVEN01	6362 	4504 
RHENSTRE01	6323 	4287 
RHEBLRRG00	5217 	5217 
TRELC01	5237 	4771 
IDISTELC01	4665 	4758 
TAIJETN00	4622 	4622 
RCHEHOB01	5708 	3336 
PURN04501	4650 	4302 
PURN04500	4784 	3916 
MINNGA8	714 	7678 
MINCOA1	3756 	4034 
IMPCOACOK	3827 	3850 
RHNBLCRH01	3065 	4570 
TBDST00	3760 	3760 
MINNGA3	3696 	3696 
PPELLBIOS01	4984 	2289 
EBOG-LFE01	3579 	3227 
IPPFINPRO01	3291 	3291 
PHTANKER01	3377 	3189 
EHYGOCT01	3874 	2617 
IMPETH	3198 	3250 
RHEBLCRH01	3345 	3016 
IMPOILDST	3171 	3171 
UNGAPTR00	3048 	3048 
MINNGA1	3000 	2993 
MINNGA2	2947 	2927 
TADJETN01	2910 	2910 
PHPIPEDIST01	3453 	2339 
RHEBLCRG00	2733 	2733 
RECOLREF01	2463 	2974 
SHLBLCRG01	2638 	2770 
SCKLFO001	2683 	2683 
POILREF00	2422 	2936 
IMPCOA	2015 	3157 
TFSSHYGL01	2653 	2501 
IMPOILCRD1	2564 	2564 
RMETERELC01	2737 	2343 
IMAINPGAS00	2507 	2507 
IMPURN	2426 	2113 
MINOILCRD8	1561 	2747 
SHLAHPRE01	2785 	1484 
RCEOTHER01	2112 	2112 
INDNEULPG01	2059 	2156 
REWETALL00	2092 	2092 
ENGACCT00	2070 	2066 
RHNNSTRE01	2451 	1614 
RHESHTRG01	1069 	2983 
ICHHVCSCE01	1248 	2782 
PHYGEYSL01	2294 	1711 
ENGACCTQ01	1305 	2538 
PWLFMSWORG01	1901 	1901 
ECOA00	1888 	1900 
TRAPET01	1740 	1993 
EWNDONS00	1848 	1848 
RSERVPHYG01	1886 	1743 
RECOLFRE02	1390 	2120 
RELITLED01	1717 	1717 
ETNM00	1714 	1714 
IMPOILPET	1886 	1525 
IMPBIOOIL	3324 	
ICMKLND01	1656 	1656 
ENUCAGRO00	1646 	1646 
EWNDOFF00	1631 	1631 
EWNDONS401	2242 	1004 
ENUCAGRN00	1622 	1622 
RHCSVCAV02	1744 	1454 
IMPOILLPG	2167 	909 
RHEBLRRW01	1986 	1085 
EHYGCCT01	1213 	1836 
IPPPRODRY03	1889 	1118 
SMAINPGAS00	1495 	1495 
TAIJETE00	1434 	1434 
RCHHHOB01	1073 	1781 
TRAJETIA01	1423 	1423 
SREFEHFC00	1348 	1348 
TLPET00	1306 	1306 
ULNGT00	1302 	1302 
TFSLHYGIS01	1476 	1103 
ECOABIO00	1254 	1283 
RMAINPHYG01	1311 	1211 
RHEBLCRO01		2489 
RDISTELC00	1209 	1209 
RECOLFRE01	1517 	899 
PCOK01	1183 	1183 
TFSSCELC01	1709 	608 
SHHBLRRG01	945 	1366 
SHLBLRRE01	1077 	1184 
PWLFMSWBIO01	1143 	1034 
EWNDONS301	1093 	1037 
RHEDHP401	1159 	970 
IDISTELC00	1063 	1063 
PCHP-CCP01	975 	1112 
PHPIPETRAN01	1226 	858 
TDISTELC01	1416 	618 
IMPAGWST	1897 	113 
MINBSTWWST1	1299 	699 
SDISTELC00	990 	990 
IPPPROOTH01	972 	972 
IPPPROPRS01	972 	972 
SHHVACAE02	974 	962 
TWFCHYG01		1900 
EMANOCT01	942 	949 
IMPOILHFO	938 	938 
IMPELC-EU	1017 	833 
RHEBLRRO00	906 	906 
PBOGMSWBIO01	898 	908 
PHYGWSTQ01	1336 	464 
TFSSHYG01	1295 	499 
EHYD00	894 	894 
EGEO01	1182 	600 
RELITENS01	838 	838 
SLOFELED01	836 	836 
SMAINPHYG01	902 	762 
ENGACCTRR01	48 	1596 
IISCASHRM02	808 	808 
RESWODL01	1040 	573 
AHTBLRB01	455 	1138 
TRADST01	684 	908 
RESPELH01	313 	1238 
SHLBLCRO01	553 	995 
EWNDONS201	780 	741 
RCHEOVEN00	752 	752 
ENUCPWR00	741 	741 
RECOLREF00	739 	739 
ICHHVCSCQN01	1124 	339 
PWLFMSWINO01	727 	727 
PCOK00	725 	725 
PHYGSTOS01	820 	624 
RCHGHOB00	708 	708 
IMPOILKER	738 	665 
RHENSTRE00	690 	690 
SCSVROFF01	655 	655 
RHCSVLOF01	652 	652 
ICMGRIMIX02	646 	652 
TWPET00	629 	629 
ICMKLNPCQR01	1247 	
MINBWOD2	663 	577 
TFSLHYGDS01	762 	471 
SREFEHFC01	1220 	
ENGAOCT01	594 	594 
